SAMPLE,Ag,As,Au,Ba,Be,Bi,Br,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Hf,Hg,Ho,I,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pb,Pd,Pr,Pt,Rb,Re,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Final pH
DESCRIPTION,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,Unity
S000 001,0.4,16.2,0.04,15700,21.5,1.9,0.48,294,7.7,43.2,1745,3,2.5,475,215,221,8.8,99,6.3,55.9,0.2,0.73,0.5,67.2,0.12,0.6,12.3,16.4,32.1,224,31.8,2.2,0.3,67.2,522,914,0,10.1,0,480,0,0.7,90,6,29,0,6710,0,18.5,0,34.9,50,0.64,36.6,45,32.6,0.1,1345,216,2410,19.1,6
S000 002,1,11.4,0.16,5260,67.6,1.1,0.97,50,5.2,1810,377,20,5.1,494,586,245,122,120.5,21.4,530,4.4,4.4,0.6,109,0.19,0.8,511,7.4,20.1,104,7.7,1.7,0.4,1585,456,1405,0,323,0,257,0.01,1.1,324,5,467,0.4,906,0,92.7,0,323,191,0.13,32.4,96.1,46.2,0.1,2840,167,510,117,6.4
S000 003,12.2,3.8,0.4,4690,9.4,0.4,0.34,76.1,5.2,86.6,131.5,3,18.5,5050,390,260,26.5,9.7,5,134.5,0.6,0.56,1.6,97.8,0.39,0.1,32.7,2.1,30,79.3,23.6,1.9,0.2,179.5,280,62.4,0.96,28.5,0,308,0.01,0.5,410,14,75.2,0,1480,0,39.8,0,44.8,91,5.5,37.3,38.9,13.2,0.2,2040,208,110,19.9,6.4
S000 004,0.4,5,0.08,8370,16.6,1.4,0.2,281,9.8,20.4,603,7,4.9,3000,121,113.5,5.3,73.4,9.7,26.8,0.3,0.92,1.5,36,0.14,1,7.9,8.2,12.8,123,41.1,2.5,0.5,28,1000,157,0,4.5,0,233,0,1.1,187,10,13.4,0.3,4540,0,9.7,0,21.5,99,1.92,17.1,21.6,33.5,0.2,522,96.6,950,33,6
S000 005,0.4,4,0,3910,7.5,0.7,0.89,422,10.8,112,165.5,6,2.4,922,130.5,67.3,19.5,42.5,5.8,96.6,0.1,0.41,0.5,28.6,0.13,0.2,42.6,2.1,4.8,104,32.1,2.9,0.2,152.5,401,291,0,25.5,0,169,0.01,0.5,49,10,60.7,0,4630,0,18.1,0,13.3,61,0.76,8.3,27.1,16.4,0.1,622,40.1,950,13.9,6.4
S000 006,0,3.3,0,10200,4.7,1.8,0.2,194,0.3,3.4,527,3,3.3,15,0.4,0.6,0.1,149,14.9,0.3,0.5,0.53,0.3,0.1,0.03,1,2.2,11.1,0.7,184.5,12.25,0,0.1,2.1,235,3.5,0,0.4,0,245,0,0.6,46,8,0.2,0,4110,0,0,0,4.28,35,0.41,0.2,4.02,25.6,0.1,2.9,2.6,20,11.9,6
S000 007,0.1,8.4,0.03,23200,3.9,1.8,0.2,51.5,0.6,4.2,524,4,19.8,30,0.7,1,0.1,115,11.4,0.7,0.3,1.58,0.7,0.2,0.04,1.8,2.6,6.1,0.8,92.1,19.9,0,0.1,2.2,118,6,0,0.5,0,1160,0,0.8,86,8,0.5,0,1550,0,0.1,0,9.71,31,1.27,0.3,4.12,22.2,0,2.7,3.7,20,30.9,6
S000 008,1.1,2.3,0.33,16200,7,0.8,0.36,3.4,3.8,33.1,368,6,24.9,1470,263,209,11.8,32.5,4.4,59.6,0.3,0.73,0.4,72.4,0.07,1.1,8.1,1.5,24.9,105,5.17,0.8,0,54,269,205,0,7.6,0,2530,0.01,0,506,11,27.5,0,193,0,22.7,0,14.4,26,4.4,31.2,19.75,8.9,0,1275,179.5,260,22.3,6
S000 009,0.2,48.5,0.11,16200,13,2.1,0.48,19.7,0.7,50.5,1870,49,20.1,102,10.4,12.2,1.6,173,27.3,6.1,2.2,4.68,0.3,3.1,0.12,1.3,22.4,54.3,4.9,145.5,12.35,5.5,7,20.9,218,46,0,10.6,0,1895,0,4.3,232,10,5.2,3.8,779,0.49,1.2,0,35.9,2920,1.59,2.8,21.4,324,2.4,60.8,23.7,90,143,6
S000 010,1.1,13.5,0.13,5260,21.3,2.3,0.67,7.2,2.2,19.7,671,17,6.1,173,12.6,13.9,0.8,133,9.1,4.3,0.9,3.15,0.6,3.8,0.23,0.9,9.1,11.2,2.6,93.3,1.11,1.9,0.8,11.6,247,572,0,2.4,0,543,0,0.6,73,15,3.5,0.6,322,0.06,1.2,0,74.1,232,0.34,2.5,34.4,39.3,0.3,65.3,17,310,80.8,6.4
S000 011,0.5,5.5,0.04,7330,35.6,2.1,0.44,78.5,7.7,255,774,2,4.4,611,466,265,35.9,70.2,10.3,208,1.5,1.24,0.6,105,0.14,0.8,57.1,6.1,25.1,130,24.3,1.6,0.1,337,706,1840,0,56.6,0,643,0.01,0,186,5,129,0.3,1990,0,55.4,0,182,39,0.41,37.2,62.6,14.7,0,2620,199,380,39,6.4
S000 012,0.4,11.5,0.17,6230,36.1,2.7,0.87,66.4,4.6,238,602,13,0.7,318,218,124,18.8,147,7.4,96.4,0.9,5.81,1.1,49.2,0.2,0.8,58.8,10.4,11.4,168,16.15,1,0.2,172,715,2000,0,33,0,157.5,0,0.6,172,14,63.8,0,1440,0,25.7,0,306,60,0.21,17.9,61.2,14.5,0,1105,94.8,800,143.5,6.7
S000 013,3,0,0.39,3180,9.7,0,0.37,112.5,4.9,121,192.5,11,0.7,4240,488,314,49.8,17.3,3.8,217,1.2,0,0.4,120.5,0.42,0.2,26.7,6.3,33.8,239,26.9,0,0,217,6160,42.6,0,29.3,0,249,0.02,0,495,2,104.5,0,2500,0,54.4,0,30.9,0,0.58,44.7,25.4,2.8,0,2780,244,780,3.4,6.7
S000 014,7.8,2.7,0.27,5100,10.5,0,0.2,86.3,11.2,33.5,134.5,5,5,5560,379,336,21.2,14.3,2.8,114,0.2,0.23,1.5,106.5,0.19,0.2,11.1,4.4,36.6,151.5,17.2,0.5,0.1,100.5,4620,56.4,0.29,13.7,0,623,0.03,0,318,3,51.3,0.2,1410,0,36.9,0,34.8,50,0.74,44.9,27.7,5.4,0,2070,264,770,8.7,6
S000 015,0.4,16,0.3,5870,13.9,1.1,0.4,237,21.5,36.4,322,4,5.9,3060,242,248,11.4,45.7,6.4,62.8,0.4,1.42,1.1,73.6,0.16,0.4,10.7,6.1,26.6,228,33.5,2.2,0.2,65.3,1830,148,0,9.5,0,617,0.02,1.2,179,13,30.5,0,4870,0,21.6,0,46,96,1.69,32.9,43,18.3,0.1,1305,189.5,4010,44.7,6
S000 016,2.1,12.1,0.33,5930,8.5,1,0.37,18.3,9.8,50,263,3,13,3690,284,227,14.3,23.8,4,79.5,0.4,2.59,1.9,74.3,0.22,0.6,12.4,1.5,22.4,66,17.2,1.6,0.1,77.1,256,437,0.06,11.2,0,872,0.01,1,351,15,38.2,0,553,0,28,0,28,58,3.46,29.3,40.9,7.9,0.1,1345,165.5,400,61.4,6
S000 017,7.3,2,1.21,20600,25.4,0.6,0.76,29.1,6.1,180,936,3,7.8,4130,1270,880,76.7,23.6,7.4,399,1.4,1.36,4,316,0.49,0.4,72.6,3,81.8,113.5,30.4,0.6,0.1,486,344,295,0.58,74.2,0,718,0.03,0.6,637,0,213,0,1480,0,125,0,102.5,33,4.44,110,107,7.2,0.1,5340,612,470,44.4,6
S000 018,1.4,8.8,0.11,15500,12.5,1.5,0.4,208,11.2,26.4,505,5,6.2,2910,108.5,98.9,5.1,54,11.6,27.4,0.4,1.17,2.1,30.9,0.15,0.9,7.9,5.7,8.6,122.5,52.2,1.8,0.3,31.9,446,271,0,5.2,0,399,0,0,152,6,15.4,0.2,5560,0,9.6,0,33.7,138,2.67,12.7,16.8,26.8,0.2,485,68,950,37.6,6
S000 019,1.7,21.4,0.12,2860,15.6,1.6,0.52,37.2,5.9,31.4,1660,34,3.2,919,49.5,32.6,3.1,108.5,21.3,15.3,0.9,2.2,0.9,11.6,0.18,1.5,11.5,14.1,2.5,59.1,26.8,6.7,1.3,24.4,274,846,0.09,4.6,0,119.5,0,1.8,115,16,9.2,0.8,912,0.07,5.3,0,33.7,595,1.5,3.8,25.3,80.2,0.8,186.5,20.5,610,67.7,6
S000 020,1.8,15.7,0,2880,15.3,2.3,0.34,69.9,6.3,27.9,1120,31,1.8,760,47.8,32.3,3,137.5,24.5,16.4,0.9,1.92,0.6,11.6,0.11,0.8,11.1,9.5,2.4,54.8,24.6,3.6,1.5,21.5,393,937,0,4.2,0,110,0,1.6,75,6,8.3,0.7,1350,0.09,5.2,0,25.7,537,0.47,3.8,29.2,64.7,0.7,194.5,19.5,730,54.3,6
S000 021,0.4,2,0,10800,12.5,2.1,0.13,444,9.3,9.7,1080,3,2.5,1350,78.5,99.5,2.5,99.6,10.8,15,0.3,0.61,1.1,26.7,0.07,1.1,2.5,13.9,10.2,187,31.1,1,0.2,13.3,800,152.5,0,1.9,0,213,0,0,161,8,6.1,0,9050,0,6.1,0,9.23,63,1.38,13.8,14.95,18,0.2,330,78.4,660,19,6
S000 022,0,5.5,0,6830,5.6,3.4,0.3,545,1.8,4,319,3,6.2,229,9.2,21.9,0.3,109.5,7.9,1.6,0.4,0.58,0.4,4.1,0.06,0.9,2.1,4.3,4.9,270,11.4,1.3,0.1,2.6,287,59.3,0,0.5,0,329,0,0,74,9,0.8,0,7810,0,0.6,0,8.24,24,0.51,4.3,11.25,39.1,1.2,42.1,33.3,690,15.1,6
S000 023,0,8.4,0.05,8560,2.8,2.2,0.26,181.5,1.1,6.4,1850,7,2.6,11,0.6,0.3,0.2,164.5,16,0.8,0.5,1.44,0.1,0.1,0.06,1,3.2,17.9,0.1,186.5,34.6,0,0.1,3.6,219,1.2,0,0.9,0,160,0,0.8,71,17,1.1,0,3760,0,0.1,0,4.56,19,0.49,0.1,4.65,31.8,0.1,2.3,0.4,60,39.5,6
S000 024,0.1,5.4,0.06,10400,7,1.2,0.32,40.7,0.6,11.8,534,6,18.8,19,1.5,1.1,0.4,100,8.8,1.4,0.4,1.06,0.4,0.3,0.05,0.6,4.8,11.5,0.6,70.2,8.05,0.7,0.2,6.7,145,1.3,0,1.5,0,1145,0,0.5,62,9,1.8,0,992,0,0.3,0,10.75,41,3.52,0.2,5.21,18.1,0.1,5.8,2.7,40,26.7,6
S000 025,0.4,1.3,0.05,44800,6.3,0.3,0.08,6.9,0.9,12.4,848,2,15.3,27,4.6,13.3,0.7,51.2,5.6,2.5,0.2,0.76,0.7,1.8,0.02,0.9,5.7,6.4,7.3,143,2.02,0,0,8.7,149,1,0,2,0,1395,0,0,169,5,2.5,0,348,0,0.5,0,5.57,15,1.53,3.9,5.59,22.5,0,27,40.5,60,19.3,6
S000 026,0,3.8,0,16700,7.2,1.2,0.08,20.5,0.7,3.4,927,2,7.3,9,1.2,1.4,0.1,95.3,7.4,0.6,0.2,0.92,0.3,0.3,0.08,0.7,1.7,3.6,0.9,86.4,5.96,0,0.1,2.5,147,10.6,0,0.4,0,791,0,0,55,8,0.5,0,762,0,0.1,0,10.4,15,0.72,0.3,4.49,52.4,0,4.8,4.1,40,18.5,6
S000 027,0.6,11,0.06,5040,19.3,2.1,0.35,86.1,3,22,568,8,2.8,191,46.5,37.8,3.1,116,8.7,19.4,0.6,1.21,1,12,0.13,0.5,8.3,7.9,3.8,85.9,10.5,1.9,0.4,24.9,337,990,0,4.5,0,461,0,0,54,9,10.8,0.3,2570,0,5.3,0,57.3,143,0.42,5.2,22.3,32.7,0.2,224,29.8,690,31,6
S000 028,2.1,26.4,0.4,3490,50.8,1.7,1.01,53.6,2,1555,660,64,6.8,572,235,105.5,55.3,156.5,24.4,251,3.2,8.7,1.7,43.3,0.38,1,513,15.5,7.8,64.1,9.49,5.5,2,890,334,1430,0,209,0,485,0,2.1,216,17,239,1.7,518,0.14,41.1,0,320,934,0.39,12.4,78.5,111.5,0.8,995,62.1,810,218,6.4
S000 029,1.8,4.7,0.1,2220,17.1,0,0.63,191.5,3.5,814,843,30,0.1,1080,235,133.5,53.3,47.8,6.8,210,1.5,1.94,1.5,48.9,0.21,0.4,169,2.4,12.2,252,21.4,2.1,0.1,524,1360,339,0,101.5,0,58.3,0,0,255,10,172.5,0.3,2470,0,36.1,0,78.9,60,0.08,16.7,38,26,0,1045,93.4,340,50.5,6.7
S000 030,3.1,3.7,0.2,1980,3.4,0,0.65,289,3.4,478,274,11,0.6,3400,421,240,92.6,8.1,5.2,377,1.7,0.26,0.9,90.5,0.38,0.1,137,1.6,18.6,228,35,2.9,0,585,3220,109,0,93.3,0,172.5,0.02,0.5,165,13,241,0,2820,0,63.1,0,11.45,40,0.5,28.2,16.95,8.6,0,2070,149.5,410,7.3,6.4
S000 031,1,4.7,0.48,4260,18.4,0,0.52,83.8,15.3,27.7,1105,16,5.3,3930,273,332,11.7,37.4,5.4,60.9,0.8,0.67,1.1,89.7,0.34,0.4,5.9,8.9,41.4,298,38.6,1.8,0,44.6,3360,68.4,0,6.3,0,579,0.03,0.6,543,11,25.6,0,2250,0,22.1,0,32.3,38,1.41,48.5,41.8,44.1,0.2,1555,297,2080,22.7,6
S000 032,2.1,9.6,0.82,5900,10.9,1,0.36,9.2,12.3,35.5,549,2,15,3340,416,393,18,12.5,3.8,105.5,0.6,1.03,0.9,121,0.34,0.3,13.2,1.2,45.6,88.7,31.3,1.1,0.1,93.9,538,243,0.13,13.3,0,784,0.02,2.3,402,14,49.3,0,286,0,37.8,0,44.7,53,2.84,53,44.7,8,0,2150,313,250,24.6,6
S000 033,1.9,19.3,0.14,8590,30.4,0.6,0.55,43.9,4,528,669,20,3.3,449,118,69.1,20.7,58.6,13.6,100.5,1.4,6.48,2.2,25.6,0.34,0.5,106.5,8.2,6.1,33.8,41.8,4.9,0.9,272,537,411,0,54.3,0,259,0,1.7,147,18,79.5,0.6,1170,0.05,18,0,250,353,0.63,8.5,45.8,40.5,0.3,641,45.1,180,191,6.4
S000 034,2.4,5.6,0.09,27600,16,0.3,0.31,303,16.4,67.7,494,2,2.8,1360,204,167.5,15,12.5,4.1,88.3,0.5,0.43,1.2,56.4,0.19,0.1,19.6,1.3,12.1,95.5,44.7,8.1,0.1,95.4,2070,161.5,0,13.8,0,329,0,0,46,10,40.8,0,8300,0,21.8,0,17.5,26,1.24,19.3,23,4.2,0.1,1595,93.4,1740,13.2,6.4
S000 035,0.2,3.8,0.02,10800,7.3,3.7,0.21,133.5,0.7,4.1,1000,4,1.7,60,1.5,4.7,0.1,113.5,10.7,0.5,0.5,0.92,0.3,0.6,0.05,1.2,1.8,12.9,1.6,132,14.3,0.6,0.1,2,305,40.4,0,0.4,0,245,0,0,69,9,0.5,0,3110,0,0.1,0,14.15,22,0.8,1.1,4.01,10.1,0.1,7.2,10.6,50,19.1,6
S000 036,0.7,6.7,0.05,5600,17.8,1,0.4,59.8,3.6,47.6,319,12,7.3,1280,187,110.5,9.3,44.3,11.4,53,0.7,1.48,1.5,43.5,0.16,1.1,12,5.3,6.4,67.1,20.9,2.6,0.7,53.3,330,333,0,8.2,0,306,0,1,271,11,24.2,0.3,1590,0,19.1,0,42.4,216,1.47,12,35.6,28.5,0.3,734,57.4,160,44.2,6
S000 037,0.4,6.5,0,6580,10.8,2.2,0.32,467,13,14.3,370,7,2.2,1060,83.9,74.6,3.1,96.6,13.4,19.1,0.6,0.78,0.5,24.6,0.07,1,4.1,5.8,5.8,140,30.4,1.6,0.3,18.2,550,360,0,2.7,0,166,0,0.5,85,9,8.4,0.3,9200,0,7,0,13.05,79,0.78,9.1,25.7,17,0.2,370,49.1,2380,25,6
S000 038,0.4,2.9,0.06,3940,18.8,1.2,0.3,201,5.4,28.5,556,8,1.2,914,141,79.6,6.7,101.5,10.6,39.6,0.5,1.15,0.7,31.9,0.1,1.1,6.8,3.2,4.7,103,25.7,0.6,0,35,428,670,0,5.5,0,116.5,0,0.6,163,7,17.7,0,3390,0,14.6,0,29.9,7,0.49,8.4,43.4,7.6,0,507,40.5,1270,29.5,6
S000 039,0,35.7,0.15,3510,3.6,4.7,0.24,471,1.6,5,2580,5,3.8,25,0.6,0.7,0.1,139.5,10.7,0.4,0.2,0.86,0.7,0.2,0.07,1.3,2,19.4,0.6,232,63.5,1.2,0.3,2.2,360,5.8,0,0.5,0,146,0,0.9,84,9,0.5,0.2,8180,0,0.1,0,3.95,180,1.66,0.1,4.89,19.8,0.1,2.2,2,260,17.7,6
S000 040,0.1,9.2,0.04,10500,9.4,2,0.24,27.7,0.6,10.8,4450,4,6.6,21,1.4,1.6,0.3,147.5,10.2,1.2,0.5,1.08,0.6,0.3,0.07,1.1,5,23,1.1,85.2,15.65,0,0.2,6.1,380,6.4,0,1.4,0,647,0,0.7,78,9,1.3,0.2,944,0,0.2,0,10.2,66,0.62,0.4,4.4,10.2,0,5.7,5.4,60,27.9,6
S000 041,0.3,4.4,0.06,10900,11.5,0.8,0.33,9.2,5.4,23.3,3100,6,7,824,94.3,95.3,2.9,75.1,9.5,17.1,0.4,2.15,1.5,29.2,0.09,1.3,8.1,5.7,9.2,58.6,9.05,0.6,0.2,19.8,437,315,0,3.4,0,835,0,0,159,9,7.3,0.2,382,0,7.2,0,32.8,78,0.72,13,11.65,12.4,0.1,482,70.8,620,53.7,6
S000 042,0.1,4.4,0.02,5980,11.9,1.6,0.38,61.9,0.5,16.6,1465,6,5.2,10,2.1,2.1,0.4,126,9.4,2.2,0.4,2.93,0.5,0.5,0.12,1.3,8.2,15.9,0.7,82.5,16.45,0.5,0.2,9,98,4.9,0,2.2,0,514,0,0,80,11,2.1,0.2,1760,0,0.3,0,43.5,48,0.92,0.4,8.35,10.3,0.1,10.5,3.9,60,66.5,6
S000 043,0.6,8.9,0.15,4550,27.5,2.3,0.39,21.4,3,78.1,1420,9,7.7,258,159,108,9.5,71.2,10.7,57.1,0.6,3.22,0.8,37.7,0.16,1.1,23.3,5.4,8.5,76.8,22.8,1.5,0.7,78.4,249,1665,0,13.5,0,616,0,0.5,172,8,32.1,0.4,761,0,17.3,0,132.5,162,0.29,13.3,43.5,48.3,0.2,727,70.7,190,84.4,6
S000 044,1.5,10.4,0.14,3390,30.6,0.7,0.61,44.4,6.2,342,2420,22,3.1,594,224,119.5,37.4,105,15.5,172.5,1.7,3.84,1,46.2,0.19,0.8,89.3,10.6,8.2,52.2,18.7,3,1.5,337,505,578,0.05,61.4,0,238,0,1.1,213,13,124.5,0.6,881,0.1,33,0,120,802,0.36,14.2,34.2,83.9,0.3,989,72.1,1600,101.5,6.4
S000 045,0.5,6.4,0,2760,18.2,1.6,0.36,190,14.8,14.7,2380,6,0.3,211,37.8,35,2,102,7,10.2,0.4,1.65,1.4,10.7,0.1,0.3,4.1,3.9,3.9,147.5,38.7,1.3,0.2,11.2,518,1060,0,2,0,84.9,0,0,52,7,5.3,0,3180,0,3.8,0,61,66,0.26,4.8,14.75,9.6,0.2,194.5,28.2,1170,44,6
S000 046,0.6,9.4,0.03,1810,22.6,1.1,0.36,142.5,10.2,37.8,524,7,1.4,457,69.3,49.3,6,72.4,7,33.4,0.4,2.03,1.1,16.5,0.11,0.4,7.3,3.1,4.9,91.6,37.2,3.2,0.3,34,1160,512,0,5.2,0,224,0,0,77,6,17.7,0.3,2750,0,8.4,0,97.8,148,0.42,6.2,22,11.8,0.2,350,34.6,650,61.9,6.4
S000 047,1.1,0.9,0.16,3540,5.1,0,0.53,208,6.9,70.5,172.5,6,0.6,3430,559,448,53.7,12.1,2.6,242,1,0,0.3,146.5,0.23,0.1,27.4,8.9,46.6,488,17.75,0,0,204,3820,30.2,0,27,0,145,0.03,0,339,5,110.5,0,3270,0,60.3,0,8.54,0,0.23,58.7,14.6,2.4,0,3000,340,1330,2.5,6.4
